Cyberpunk 2077;2020;CD Projekt
Dante's Inferno;2010;Electronic Arts
Dead Space;2008;Visceral Games
Death Stranding;2019;Kojima Productions
Diablo III;2012;Blizzard Entertainment
Fable;2004;Lionhead Studios
Fable II;2008;Lionhead Studios
Far Cry 6;2021;Ubisoft
Final Fantasy IX;2000;Square Enix
God of War II;2007;Santa Monica Studio
Assassin's Creed Origins;2017;Ubisoft
Crash Team Racing Nitro-Fueled;2019;Beenox
Cyberpunk 2077;2020;CD Projekt
Overwatch;2016;Blizzard Entertainment
Paper Mario;2000;Nintendo
Rayman Legends;2013;Ubisoft